"First Contentful Paint","First Input Delay","First Contentful Paint1","Speed Index","Time To Interactive","First Meaningful Paint","First Contentful Paint","First CPU Idle",Latency
SLOW,AVERAGE,3.3 s,8.3 s,16.0 s,3.5 s,3.5 s,210 ms
SLOW,AVERAGE,3.3 s,7.5 s,13.6 s,3.5 s,3.5 s,450 ms
